Boyd ADMM Lasso rho/alpha tuning
Run directory: example/boyd_admm_lasso_20260513
MATLAB version: 25.1.0.2943329 (R2025a)
Timestamp: 2026-05-13 12:49:49
Baseline objective: 17.2693553575
Objective tolerance: 0.1

=== Trial 01: rho=0.1 alpha=1 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
 24	    0.6029	    0.0815	    0.0691	    0.0544	     16.47
 25	    0.5502	    0.0821	    0.0675	    0.0546	     16.66
 26	    0.5147	    0.0821	    0.0547	    0.0549	     16.67
 27	    0.4696	    0.0815	    0.0526	    0.0551	     16.53
 28	    0.4335	    0.0807	    0.0506	    0.0554	     16.43
 29	    0.4080	    0.0808	    0.0405	    0.0557	     16.53
 30	    0.3745	    0.0817	    0.0399	    0.0560	     16.75
 31	    0.3466	    0.0823	    0.0389	    0.0561	     16.90
 32	    0.3276	    0.0822	    0.0307	    0.0563	     16.88
 33	    0.3023	    0.0816	    0.0290	    0.0565	     16.78
 34	    0.2790	    0.0811	    0.0302	    0.0567	     16.75
 35	    0.2649	    0.0813	    0.0242	    0.0569	     16.84
 36	    0.2473	    0.0819	    0.0219	    0.0571	     16.96
 37	    0.2294	    0.0821	    0.0228	    0.0572	     17.01
 38	    0.2181	    0.0820	    0.0185	    0.0574	     16.99
 39	    0.2044	    0.0817	    0.0167	    0.0575	     16.96
 40	    0.1912	    0.0816	    0.0170	    0.0577	     16.98
 41	    0.1815	    0.0817	    0.0146	    0.0578	     17.03
 42	    0.1718	    0.0818	    0.0129	    0.0579	     17.06
 43	    0.1624	    0.0818	    0.0119	    0.0580	     17.07
 44	    0.1537	    0.0818	    0.0114	    0.0582	     17.07
 45	    0.1463	    0.0818	    0.0102	    0.0583	     17.09
 46	    0.1397	    0.0819	    0.0083	    0.0584	     17.11
 47	    0.1316	    0.0819	    0.0088	    0.0585	     17.13
 48	    0.1255	    0.0819	    0.0084	    0.0586	     17.14
 49	    0.1206	    0.0818	    0.0064	    0.0587	     17.15
 50	    0.1145	    0.0819	    0.0065	    0.0588	     17.16
 51	    0.1093	    0.0819	    0.0064	    0.0589	     17.18
 52	    0.1051	    0.0820	    0.0049	    0.0590	     17.19
 53	    0.1004	    0.0820	    0.0049	    0.0590	     17.19
 54	    0.0963	    0.0820	    0.0045	    0.0591	     17.20
 55	    0.0926	    0.0819	    0.0040	    0.0592	     17.21
 56	    0.0889	    0.0820	    0.0039	    0.0593	     17.22
 57	    0.0854	    0.0820	    0.0031	    0.0594	     17.23
 58	    0.0819	    0.0820	    0.0034	    0.0594	     17.25
历时 0.572668 秒。

summary: iterations=58 final_objective=17.2459409207 r_norm=0.081862790476 eps_pri=0.0820158011064 s_norm=0.00338465487371 eps_dual=0.0594239298089 valid=1 elapsed_seconds=0.572886 status=success

=== Trial 05: rho=0.3 alpha=1 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
  1	    4.8049	    0.0551	    0.0000	    0.0215	      0.40
  2	    4.1073	    0.0504	    0.2689	    0.0337	      2.01
  3	    3.1998	    0.0496	    0.5740	    0.0427	      4.95
  4	    2.3065	    0.0611	    0.6698	    0.0482	      8.53
  5	    1.8606	    0.0763	    0.5993	    0.0509	     11.88
  6	    1.6758	    0.0872	    0.4603	    0.0519	     14.51
  7	    1.4551	    0.0922	    0.3422	    0.0520	     16.22
  8	    1.1852	    0.0925	    0.2739	    0.0517	     17.00
  9	    0.9589	    0.0902	    0.2249	    0.0515	     17.11
 10	    0.7974	    0.0867	    0.1790	    0.0515	     16.86
 11	    0.6754	    0.0834	    0.1398	    0.0519	     16.51
 12	    0.5679	    0.0809	    0.1148	    0.0525	     16.23
 13	    0.4760	    0.0796	    0.1003	    0.0532	     16.10
 14	    0.4138	    0.0793	    0.0849	    0.0539	     16.11
 15	    0.3759	    0.0797	    0.0670	    0.0545	     16.22
 16	    0.3444	    0.0803	    0.0496	    0.0551	     16.38
